recipe_number,recipe_code,recipe_name,comment_id,user_id,user_name,user_reputation,created_at,reply_count,thumbs_up,thumbs_down,stars,best_score,text
98,11767,Quick Cream of Mushroom Soup,sp_aUSaElGf_11767_c_399368,u_1oKbZyHNc5jVYWk9PGGaIpVO9TX,karen,1,2021-02-11 11:02:35,0,1,1,5,142,"I was a little worried after taste tasting after I added the flour. It really tasted like flour. Didn\'t give up, It did say to simmer to let the flavors meld. Glad I did. It was really tasty! May add some portobellos and a titch of sherry next time. Low calories for a creamy soup. Added benefit. Thanks Anne and other cooks who gave me the thumbs up to try it!"
38,1063,Frosted Banana Bars,sp_aUSaElGf_1063_c_428299,u_1oKcv9Y0DfO6pAVQMpBLZKshkMi,Kendra,1,2021-02-11 11:04:59,0,7,0,5,390,I made these for my daughters school lunches. They were a huge hit! I did 1 cup white sugar 1 cup brown sugar. I also added half a bag of semisweet chocolate chips into the batter
59,414,Lemon Blueberry Bread,sp_aUSaElGf_414_c_428242,u_1oKVdXJVj0FvjvOHkePwEUxmEWq,oreo95,1,2021-02-11 11:04:59,0,0,0,5,100,"Delicious, and a quick easy recipe. Made recipe exact, just had to sub 3 teaspoons of lemon extract for the lemon zest as I didn’t have  any lemons on hand. Also didn’t make the glaze, personal preference.A definite keeper. Thanks Julianne"
62,1152,Pork Chops with Scalloped Potatoes,sp_aUSaElGf_1152_c_428311,u_1oKcvk1uqX25zwm3wfrB5Otsj1d,Nancy,1,2021-02-11 11:04:59,0,0,0,5,100,"This is a great recipe! I make it often and my family really likes it. My son  in law doesn’t like scalloped potatoes, but he really likes this dish. It’s a great meal to make for a new mom. I serve it with peas."
82,18274,Ravioli Lasagna,sp_aUSaElGf_18274_c_384766,u_1oKVabx1v9IOjmZbyC5dIRTPlC5,amsm,1,2021-02-11 11:08:51,0,0,0,4,100,Easy to put together and the kids loved it.
74,26937,Pineapple Pudding Cake,sp_aUSaElGf_26937_c_191920,u_1oKWxf53AFFIXO6lFQiUMpkJtoK,bobbical,1,2021-02-11 11:16:02,0,0,0,5,100,"<p>I made this cake with lemon cake mix, and it was yummy!  Everyone loved it!</p>"
25,23222,Baked Mushroom Chicken,sp_aUSaElGf_23222_c_374114,u_1oKXJYppmr1JhtQpPV8eJUe3VDQ,lisahughes,1,2021-02-11 11:16:29,0,0,0,5,100,<p>Wow!  This is really good!  It smells amazing while it is baking and my kids just loved it.  Even better as leftovers - I put it in my daughter's thermos and sent it to lunch with her the next day - 100% GONE!   This is certainly a keeper.  No changes to recipe necessary.</p>
99,191775,Egg Roll Noodle Bowl,sp_aUSaElGf_191775_c_177353,u_1oKWH8DqvSPpMkeKqGvYZ2v32cT,countryjules1964,1,2021-02-11 11:17:09,0,0,0,5,100,<p>I have made this twice. The first time with ground pork and the second time with ground chicken. Both times it was great! I am even thinking about doing chopped up shrimp. Makes great leftovers. I might try taking some sliced and baked won ton wrappers to add to the top for some crunch. I sent leftovers with my husband with some Chinese mustard for his lunch and he loved it.</p>
7,12540,Flavorful Chicken Fajitas,sp_aUSaElGf_12540_c_195467,u_1oKW7KUsjo2GgUicaYKwO17dWga,Stacey4,1,2021-02-11 11:18:01,0,1,0,5,193,<p>I made this last night for dinner and everyone really liked it. I liked that it was so easy. I didn't have lemon juice so I used lime instead. I will make this again for sure.</p>
48,9739,Best Ever Potato Soup,sp_aUSaElGf_9739_c_356594,u_1oKc9JQr21kYFS2ZHfmoCZErbdh,booboobee724,1,2021-02-11 11:22:36,0,0,0,4,100,<p>Very good. Yummmm</p>
14,7178,Zucchini Cupcake,sp_aUSaElGf_7178_c_245124,u_1oKVZdyhyNOltUh0APjvdCqrHQK,OhBarbi,1,2021-02-11 11:28:37,0,0,0,5,100,"<p>May I add...I scooped out all the zucchini seeds prior to shredding the zucs.  Also, I put the shredded zuc in a colander for a while and pressed some of the excess juice out.  I had maybe a tablespoon of liquid drain off the zucs.</p>"
63,24886,Chicken and Dumplings,sp_aUSaElGf_24886_c_245238,u_1oKYcSSP8U6FVrhfh9F5U2m6Tav,rebekahb16,1,2021-02-11 11:28:37,0,0,0,0,100,<p>Me and my Family loved it we will surely be making this again</p>
17,36450,Fluffy Key Lime Pie,sp_aUSaElGf_36450_c_178646,u_1oKXvDUJgzpNgKIFjnpQql9Nqb1,ptmom5,1,2021-02-11 11:34:05,0,2,0,5,253,<p>I have used different Jello  flavors with matching yogurts on this one-peach is great!</p>
3,2832,Cheeseburger Soup,sp_aUSaElGf_2832_c_335920,u_1oKVqGqZYfHdhm0wSMWvjxjISiH,dlindenf,1,2021-02-11 11:34:15,0,0,0,4,100,<p>This was delicious!</p>
82,18274,Ravioli Lasagna,sp_aUSaElGf_18274_c_429266,u_1oKdKBf7Wde21wqCGyW8Jglw57N,Monique,1,2021-02-11 11:39:11,0,3,0,5,297,"This recipe is SO easy and SO delicious! I added one diced onion and two cloves of garlic to the ground beef for extra flavour, and used semi-cooked ravioli instead of frozen. Worked great and the husband loved it too!"
40,8431,Rhubarb Custard Bars,sp_aUSaElGf_8431_c_282412,u_1oKa6WySLExuhx4WzFm59Iu5qgL,GrammyJune,1,2021-02-11 11:42:43,0,0,0,5,100,<p>The best</p>
26,386,Hot Milk Cake,sp_aUSaElGf_386_c_231290,u_1oKVoSOKqQiryUsgs7fWvjNTI9Q,ukiebaker,1,2021-02-11 11:43:21,0,0,0,4,100,"<p>Just made this today and it is a good basic cake that is easy and quick.  I baked my in a bundt pan for about 50-55 minutes.  I only had whole milk, used organic unsalted butter, decreased the sugar to 1 1/2 cups, increased the vanilla to 2 tsp, added 1/4 tsp salt (my mother was an excellent baker and even when the recipe didn't call for salt, she ALWAYS put a little in all her baked goods),  I also added a 1/2 tsp of King Arthurs Princess Cake and Cookie flavoring.  The cake is similar to a pound cake, but not quite.  I sprinkled it with confectioners sugar and will be serving it with fresh strawberries and whip cream.  Next time I will try making cupcakes.  I'll let you know if it doesn't work, but I have a feeling it will.</p>"
1,14299,Creamy White Chili,sp_aUSaElGf_14299_c_278094,u_1oKVeN9YNf07RT0P9R63Yu80P5A,JGa2595176,1,2021-02-11 11:44:18,0,0,0,5,100,"<p>Super delicious! I had a feeling that with so many positive reviews it would be a hit. It's a challenge to find a dish that my entire family enjoys (kids ages 4 and 8, husband and myself)- but this was a winner! Creamy, hearty, perfect for a cold fall evening. Will be in my normal rotation!</p>"
45,41384,Black Bean ‘n’ Pumpkin Chili,sp_aUSaElGf_41384_c_301544,u_1oKYkI6gef5hVYtaENSP5KEdE0C,footrenewspecialist,1,2021-02-11 11:47:42,0,0,0,5,100,<p>This chili is awesome!! My family requested that make it again but with more beans and corn.</p>
64,12700,Big Soft Ginger Cookies,sp_aUSaElGf_12700_c_387634,u_1oKbcQUnC5LrDU391cJCT7dhPZQ,ReneeHyde,1,2021-02-11 11:53:31,0,0,0,5,100,"Great recipe. My family loves them. I keep seeing comments on the sugar amount, it\'s 1 cup of sugar for the cookies. The additional sugar is to roll the cookies in once you have them formed into the ball. I put mine in a Tupperware container, place one cookie at a time in it roll it around to cover the cookie, then I place the cookie on a cookie sheet and bake. The amount of sugar changes depending on how big or how many cookies I make. I believe that\'s why there\'s no amount for it. I usually start with a cup and go from there. Best of luck."
55,38550,Special Banana Nut Bread,sp_aUSaElGf_38550_c_180682,u_1oKXANQuFHpI3zQQJWYajmZqU6n,palacsinta,1,2021-02-11 11:57:16,0,0,0,1,100,<p>I just pulled this out of the oven and haven't tasted it yet.  Used the correct sized pans but the loaves wouldn't bake--it took about an hour and a half and then the tops burned--they looked too full as I was filling the pans up.  Should I have used 3 pans?</p>
84,4444,Strawberry Pretzel Salad,sp_aUSaElGf_4444_c_407325,u_1oKVtgN8zqdum9cajbHYBHjrdLh,vsmith8403,1,2021-02-11 11:57:52,0,0,0,4,100,My kids enjoyed this... it was OK to me... I think I would of liked it better with fresh strawberries and not frozen. Next time I’ll try with fresh. The flavor was good though
31,7708,Basic Banana Muffins,sp_aUSaElGf_7708_c_426941,u_1oKVZiDrHBo4Zdm6cgk1gQTUTue,DeliciouslyResourceful_Gina,1,2021-02-11 11:59:17,0,0,0,5,100,Wonderful recipe! I used three large bananas and for one half cup of the flour used whole-wheat. I added a few mini chocolate chips and made mini muffins. 12 minutes was perfect. My three-year-old helper and I thought they were fantastic! Very easy and delicious!
15,10252,Li’l Cheddar Meat Loaves,sp_aUSaElGf_10252_c_313788,u_1oKXDgWEeg4GoLzNzalD3zQXST6,cassiesmith,1,2021-02-11 12:00:59,0,0,0,5,100,"<p>This is my go to meatloaf recipe.  Everyone I have made it for loves it.  I do add extra seasoning, like onion soup mix or ranch mix, just because I think it adds a bit of pizazz.  My family of 6 is always excited when they find out I am making it.</p>"
95,18341,Bacon Macaroni Salad,sp_aUSaElGf_18341_c_127676,u_1oKVfXOmW32vZWy1gTvZDeUyEJG,sjmdam,1,2021-02-11 12:02:59,0,0,0,5,100,<p>delicious! you must try this recipe. great for a grill out night</p>
6,21444,Favorite Chicken Potpie,sp_aUSaElGf_21444_c_356289,u_1oKVfDrLy4doYhKRVrGEYRu1vYm,beatrixkiddo,1,2021-02-11 12:13:54,0,0,0,5,100,<p>Very good. I mixed in a little cheese as well and next time I'll add chopped cooked bacon. Keeper recipe for sure!</p>
93,42873,Teriyaki Chicken Thighs,sp_aUSaElGf_42873_c_355231,u_1oKVa2fPtT5nLm5ML0xYxnDMI1T,johnsen,1,2021-02-11 12:20:42,0,0,0,5,100,"<p>very good, easy</p>"
3,2832,Cheeseburger Soup,sp_aUSaElGf_2832_c_425033,u_1oKd8ZFP1PViBhL5ECq1u96tdJP,KellyStoner,1,2021-02-11 12:20:55,0,0,0,5,100,"We love it, Thank you! I did make some adjustments... I only had shredded Mexican cheese on hand and beef broth so I used those instead of chicken broth and Velveeta. I also didn\'t add sour cream. My 4 kids from 13yrs-4yrs all loved it . We will make it again! Thank you!"
42,10248,Garlic Beef Enchiladas,sp_aUSaElGf_10248_c_326669,u_1oKbg38LEFdbkYKtyVfIgttt1zT,Jamcat59,1,2021-02-11 12:26:07,0,0,0,5,100,<p>This recipe ROCKS!!!!! My family and friends love it! It is my go to recipe for something different in the weekly meal planning! been making it for years! Can't go wron making this one. The only thing I change is I delete the salt and you can't even tell it's missing. Great job and thank-you very much!</p>
8,6086,Apple Pie,sp_aUSaElGf_6086_c_428679,u_1oKdFli5wwbLxb1JSRjn6Wxi8S9,Terri,1,2021-02-11 12:28:46,0,9,5,5,274,"This was delicious and I even skipped the white sugar. Due to heath and latent food allergies, I limit my sugar and I can not use sugar substitutes.  Has anyone else ever altered the recipe? I think I will try it without any sugar next time.  Also, can anyone recommend a tool that helps you figure out the nutrition value, this way I can see the grams of sugar based on my alterations.  Thanks again, grandma knew what she was doing."
18,2872,Stuffed Pepper Soup,sp_aUSaElGf_2872_c_376725,u_1oKVhFS25O4jSO340T1iYSbxlEl,lolohiser,1,2021-02-11 12:39:26,0,0,0,4,100,"<p>Yum! Just needs some extra ""humpf"" to get five stars.</p>"
83,9735,Comforting Chicken Noodle Soup,sp_aUSaElGf_9735_c_231677,u_1oKWxZnHPvAnjdFeIk4fmGnHOQW,aperfe22,1,2021-02-11 12:43:04,0,0,0,0,100,<p>Just wondering how much chicken broth I should add to make this soup?</p>
64,12700,Big Soft Ginger Cookies,sp_aUSaElGf_12700_c_168057,u_1oKXUaD3GNWKEFmPzk3rLBqjrR6,AngelClark,1,2021-02-11 12:44:20,0,0,0,5,100,"<p>I followed the recipe and it turned out excellent. I think I added 1/4 tsp all spice.. The texture of the cookie is the real star--soft and chewy, not cakey (and still is a week later)! They are not too sweet, which I also love and they baked so perfectly, they look like I bought them. the prominent flavor is the molasses to me and the next time I make them I might have a little fun experimenting with a little cocoa in the batter or some cinnamon in the rolling sugar.. Thank you for sharing this wonderful recipe!</p>"
5,42386,Pumpkin Spice Cupcakes with Cream Cheese Frosting,sp_aUSaElGf_42386_c_293465,u_1oKYUV33D1qW3S5ZxzTko2DH1Lc,asisson10,1,2021-02-11 12:44:29,0,0,0,5,100,<p>These cupcakes are awesome!</p>
4,17826,Amish Breakfast Casserole,sp_aUSaElGf_17826_c_418531,u_1oKVakhxVIBNUxgvWPjxZBGNwrV,grandmascooking22,1,2021-02-11 12:44:47,0,0,0,5,100,This is the best. Wonderful flavor and so easy. Stir everything all together night before. Have tried many egg stratus and this is by far the best! Company all wanted the recipe!
64,12700,Big Soft Ginger Cookies,sp_aUSaElGf_12700_c_414358,u_1oKVaBmiEKwAFyiHrDLoWpbel0J,misscoffeepot,1,2021-02-11 12:52:35,0,0,0,5,100,"These are lovely cookies.  I used a 1 1/2 inch cookie scoop.  It made a 3 inch cookie, so if you want something bigger-change accourdingly.  It made 35 cookies.  I baked till just lightly browned on the edges.  I let cool 2 min on pan before removing to racks to cool."
86,4383,First-Place Coconut Macaroons,sp_aUSaElGf_4383_c_414318,u_1oKi8cRoyF7AoUNbsvhDU9rqplx,Guest3151,0,2021-02-11 12:52:35,0,3,1,5,235,"These are EXCEPTIONAL.  Just perfect.   I used Organic UNSWEETENED coconut flakes (trader joe\'s), and used 1/3 cup sugar with an extra small teaspoon since the coconut was unsweetened.     Since my coconut flakes were extremely dry I just added a couple of drops (literally) of water and crushed the flakes a bit more/ tossing and softening them just a bit before adding everything else.    My egg whites were cold not room temperature (i was impatient ha)  and I whisked them with them with the vanilla.     They were absolutely AMAZING - perfectly crisp on the outside and perfectly light and yet moist on the inside.  DELICIOUS!   DEFINITELY DESERVED YOUR BLUE RIBBON AWARD AT THE FAIR!!!    Thank you for posting this!"
97,34347,Lime Chicken Tacos,sp_aUSaElGf_34347_c_273588,u_1oKWZ39RhcFEdVjFyRLQpJebz0g,schnorpy,1,2021-02-11 12:55:25,0,0,0,5,100,<p>So easy and flavorful!</p>
57,9010,Favorite Dutch Apple Pie,sp_aUSaElGf_9010_c_214893,u_1oKVeqMsu4kJBCysL6Lxdtkbq4I,Mrs. Peters,1,2021-02-11 12:55:30,0,0,0,0,100,"<p>I was just going to look for an apple pie that used crumbs for a crust on taste of homes website, and this poped up when i opened the website, so im gona try it right now...</p>"
2,3309,Best Ever Banana Bread,sp_aUSaElGf_3309_c_191602,u_1oKVZmwriM0KG2XqP8kbU6HI0zG,carolynstowers,1,2021-02-11 12:56:22,0,0,0,5,100,"<p>I made this bread for Thanksgiving dinner everyone loved it.   The only left overs taken home by my guest was the bread.  1 review stated that the bread stuck so I placed wax paper into the bottom of the pan.  I did have 1 end that stuck but, I think this was my fault because, I left the nuts in half sizes which stuck to the side of the pan and pulled the bread apart when I tried to remove it.   I will be cooking several loafs at Christmas to give away and I will use wax paper for the bottom and sides.</p>"
44,31278,Corn Pudding,sp_aUSaElGf_31278_c_203983,u_1oKVhRBvrKSr6yc2XJQovvBbUSO,amberjcarothers,1,2021-02-11 12:56:53,0,0,0,5,100,<p>I really enjoyed this   :o)   It was quite sweet but that's what I liked about it !</p>
44,31278,Corn Pudding,sp_aUSaElGf_31278_c_378914,u_1oKWRlNKq32nPFykHwyfvxl9mPD,Tinkboxer,1,2021-02-11 12:57:10,0,0,0,5,100,<p>YUUUUUMMMYYYYYY!!! This dish is sooooo good. My family raved about it to everyone!!! Totally making this one again ;)</p>
38,1063,Frosted Banana Bars,sp_aUSaElGf_1063_c_126759,u_1oKVbt7b46ZJo30ymotT5a9MTDY,kaitlyn'smommy,1,2021-02-11 12:58:46,0,0,0,0,100,<p>Delicious! Extremely easy to make and the cream cheese frosting is divine.</p>
30,39549,Forgotten Jambalaya,sp_aUSaElGf_39549_c_395887,u_1oKVs0hze41xpDnpa25yOfyifOa,dmkinsey,1,2021-02-11 13:09:00,0,0,0,5,100,"I made this as our after-church meal for Christmas Eve.  Everyone really liked it!  It was great to be able to put it all together earlier in the day, and then just add the shrimp and make the rice when I got home.  I\'ll definitely make this again."
45,41384,Black Bean ‘n’ Pumpkin Chili,sp_aUSaElGf_41384_c_135667,u_1oKWd6r24ekaWzdVbsbd0Dm381s,mkaylor,1,2021-02-11 13:10:02,0,0,0,0,100,"<p>Everyone in my family that tried it thought it was great.  For my taste, I thought it was a bit bland and added hot sauce to it for myself.</p>"
